,buying,maint,doors,persons,lug_boot,safety,target
0,3,3,0,0,2,1,2
1,3,3,0,0,2,2,2
2,3,3,0,0,2,0,2
3,3,3,0,0,1,1,2
4,3,3,0,0,1,2,2
5,3,3,0,0,1,0,2
6,3,3,0,0,0,1,2
7,3,3,0,0,0,0,2
8,3,3,0,1,2,1,2
9,3,3,0,1,2,2,2
10,3,3,0,1,2,0,2
11,3,3,0,1,1,1,2
12,3,3,0,1,1,2,2
13,3,3,0,1,1,0,2
14,3,3,0,1,0,1,2
15,3,3,0,1,0,0,2
16,3,3,0,2,2,1,2
17,3,3,0,2,2,2,2
18,3,3,0,2,2,0,2
19,3,3,0,2,1,1,2
20,3,3,0,2,1,2,2
21,3,3,0,2,0,1,2
22,3,3,0,2,0,2,2
23,3,3,0,2,0,0,2
24,3,3,1,0,2,1,2
25,3,3,1,0,2,2,2
26,3,3,1,0,1,1,2
27,3,3,1,0,1,2,2
28,3,3,1,0,1,0,2
29,3,3,1,0,0,1,2
30,3,3,1,0,0,2,2
31,3,3,1,0,0,0,2
32,3,3,1,1,2,1,2
33,3,3,1,1,2,2,2
34,3,3,1,1,2,0,2
35,3,3,1,1,1,1,2
36,3,3,1,1,1,2,2
37,3,3,1,1,1,0,2
38,3,3,1,1,0,1,2
39,3,3,1,1,0,2,2
40,3,3,1,1,0,0,2
41,3,3,1,2,2,1,2
42,3,3,1,2,2,0,2
43,3,3,1,2,1,1,2
44,3,3,1,2,1,0,2
45,3,3,1,2,0,1,2
46,3,3,1,2,0,2,2
47,3,3,1,2,0,0,2
48,3,3,2,0,2,2,2
49,3,3,2,0,1,1,2
50,3,3,2,0,1,2,2
51,3,3,2,1,2,1,2
52,3,3,2,1,2,2,2
53,3,3,2,1,2,0,2
54,3,3,2,1,1,0,2
55,3,3,2,1,0,1,2
56,3,3,2,1,0,2,2
57,3,3,2,1,0,0,2
58,3,3,2,2,2,1,2
59,3,3,2,2,2,2,2
60,3,3,2,2,1,1,2
61,3,3,2,2,1,2,2
62,3,3,2,2,0,1,2
63,3,3,2,2,0,0,2
64,3,3,3,0,2,1,2
65,3,3,3,0,2,2,2
66,3,3,3,0,2,0,2
67,3,3,3,0,1,2,2
68,3,3,3,0,1,0,2
69,3,3,3,0,0,1,2
70,3,3,3,0,0,2,2
71,3,3,3,1,2,2,2
72,3,3,3,1,1,1,2
73,3,3,3,1,1,0,2
74,3,3,3,1,0,1,2
75,3,3,3,1,0,0,2
76,3,3,3,2,2,1,2
77,3,3,3,2,2,2,2
78,3,3,3,2,1,1,2
79,3,3,3,2,1,0,2
80,3,3,3,2,0,1,2
81,3,3,3,2,0,2,2
82,3,3,3,2,0,0,2
83,3,0,0,0,2,1,2
84,3,0,0,0,2,2,2
85,3,0,0,0,2,0,2
86,3,0,0,0,1,1,2
87,3,0,0,0,1,2,2
88,3,0,0,0,1,0,2
89,3,0,0,0,0,2,2
90,3,0,0,1,2,1,2
91,3,0,0,1,2,2,2
92,3,0,0,1,2,0,2
93,3,0,0,1,1,2,2
94,3,0,0,1,0,1,2
95,3,0,0,2,2,1,2
96,3,0,0,2,1,1,2
97,3,0,0,2,1,0,2
98,3,0,0,2,0,2,2
99,3,0,0,2,0,0,2
100,3,0,1,0,2,2,2
101,3,0,1,0,2,0,2
102,3,0,1,0,1,1,2
103,3,0,1,0,1,2,2
104,3,0,1,0,1,0,2
105,3,0,1,0,0,1,2
106,3,0,1,0,0,2,2
107,3,0,1,0,0,0,2
108,3,0,1,1,2,1,2
109,3,0,1,1,2,0,2
110,3,0,1,1,1,1,2
111,3,0,1,1,1,2,2
112,3,0,1,1,1,0,2
113,3,0,1,1,0,1,2
114,3,0,1,1,0,2,2
115,3,0,1,2,2,1,2
116,3,0,1,2,2,0,2
117,3,0,1,2,1,1,2
118,3,0,1,2,1,0,2
119,3,0,1,2,0,1,2
120,3,0,1,2,0,2,2
121,3,0,2,0,2,1,2
122,3,0,2,0,2,2,2
123,3,0,2,0,2,0,2
124,3,0,2,0,1,1,2
125,3,0,2,0,1,2,2
126,3,0,2,0,1,0,2
127,3,0,2,0,0,1,2
128,3,0,2,0,0,2,2
129,3,0,2,0,0,0,2
130,3,0,2,1,2,1,2
131,3,0,2,1,2,0,2
132,3,0,2,1,1,1,2
133,3,0,2,1,1,2,2
134,3,0,2,1,1,0,2
135,3,0,2,1,0,1,2
136,3,0,2,1,0,2,2
137,3,0,2,1,0,0,2
138,3,0,2,2,2,1,2
139,3,0,2,2,2,2,2
140,3,0,2,2,2,0,2
141,3,0,2,2,1,1,2
142,3,0,2,2,1,2,2
143,3,0,2,2,1,0,2
144,3,0,2,2,0,1,2
145,3,0,2,2,0,0,2
146,3,0,3,0,2,2,2
147,3,0,3,0,2,0,2
148,3,0,3,0,1,1,2
149,3,0,3,0,1,0,2
150,3,0,3,0,0,2,2
151,3,0,3,1,2,1,2
152,3,0,3,1,2,2,2
153,3,0,3,1,2,0,2
154,3,0,3,1,1,1,2
155,3,0,3,1,1,2,2
156,3,0,3,1,1,0,2
157,3,0,3,1,0,1,2
158,3,0,3,1,0,2,2
159,3,0,3,1,0,0,2
160,3,0,3,2,2,1,2
161,3,0,3,2,2,2,2
162,3,0,3,2,2,0,2
163,3,0,3,2,1,2,2
164,3,0,3,2,1,0,2
165,3,0,3,2,0,2,2
166,3,0,3,2,0,0,2
167,3,2,0,0,2,1,2
168,3,2,0,0,2,2,2
169,3,2,0,0,2,0,2
170,3,2,0,0,1,1,2
171,3,2,0,0,1,2,2
172,3,2,0,0,1,0,2
173,3,2,0,0,0,1,2
174,3,2,0,0,0,2,2
175,3,2,0,0,0,0,2
176,3,2,0,1,2,1,2
177,3,2,0,1,2,2,2
178,3,2,0,1,2,0,0
179,3,2,0,1,1,1,2
180,3,2,0,1,1,2,2
181,3,2,0,1,1,0,0
182,3,2,0,1,0,1,2
183,3,2,0,1,0,2,0
184,3,2,0,2,2,1,2
185,3,2,0,2,2,2,2
186,3,2,0,2,2,0,2
187,3,2,0,2,1,2,2
188,3,2,0,2,0,0,0
189,3,2,1,0,2,1,2
190,3,2,1,0,2,2,2
191,3,2,1,0,1,1,2
192,3,2,1,0,1,0,2
193,3,2,1,0,0,2,2
194,3,2,1,0,0,0,2
195,3,2,1,1,2,1,2
196,3,2,1,1,2,2,2
197,3,2,1,1,2,0,0
198,3,2,1,1,1,1,2
199,3,2,1,1,1,2,2
200,3,2,1,1,1,0,0
201,3,2,1,1,0,0,0
202,3,2,1,2,2,1,2
203,3,2,1,2,1,1,2
204,3,2,1,2,1,2,0
205,3,2,1,2,0,1,2
206,3,2,1,2,0,0,0
207,3,2,2,0,2,2,2
208,3,2,2,0,2,0,2
209,3,2,2,0,1,1,2
210,3,2,2,0,1,2,2
211,3,2,2,0,1,0,2
212,3,2,2,0,0,1,2
213,3,2,2,0,0,0,2
214,3,2,2,1,2,1,2
215,3,2,2,1,2,2,2
216,3,2,2,1,2,0,0
217,3,2,2,1,1,1,2
218,3,2,2,1,1,2,0
219,3,2,2,1,1,0,0
220,3,2,2,1,0,1,2
221,3,2,2,1,0,2,0
222,3,2,2,1,0,0,0
223,3,2,2,2,2,1,2
224,3,2,2,2,2,2,2
225,3,2,2,2,2,0,0
226,3,2,2,2,1,1,2
227,3,2,2,2,1,0,0
228,3,2,2,2,0,1,2
229,3,2,2,2,0,0,0
230,3,2,3,0,2,1,2
231,3,2,3,0,2,0,2
232,3,2,3,0,1,1,2
233,3,2,3,0,1,2,2
234,3,2,3,0,1,0,2
235,3,2,3,0,0,1,2
236,3,2,3,0,0,2,2
237,3,2,3,0,0,0,2
238,3,2,3,1,2,1,2
239,3,2,3,1,2,2,2
240,3,2,3,1,2,0,0
241,3,2,3,1,1,1,2
242,3,2,3,1,1,2,0
243,3,2,3,1,1,0,0
244,3,2,3,1,0,1,2
245,3,2,3,1,0,0,0
246,3,2,3,2,2,1,2
247,3,2,3,2,2,2,2
248,3,2,3,2,2,0,0
249,3,2,3,2,1,1,2
250,3,2,3,2,1,2,0
251,3,2,3,2,1,0,0
252,3,2,3,2,0,1,2
253,3,2,3,2,0,2,0
254,3,2,3,2,0,0,0
255,3,1,0,0,2,0,2
256,3,1,0,0,1,1,2
257,3,1,0,0,1,2,2
258,3,1,0,0,0,2,2
259,3,1,0,0,0,0,2
260,3,1,0,1,2,1,2
261,3,1,0,1,2,2,2
262,3,1,0,1,2,0,0
263,3,1,0,1,1,1,2
264,3,1,0,1,1,2,2
265,3,1,0,1,0,1,2
266,3,1,0,1,0,0,0
267,3,1,0,2,2,1,2
268,3,1,0,2,2,2,2
269,3,1,0,2,2,0,2
270,3,1,0,2,1,0,0
271,3,1,0,2,0,1,2
272,3,1,0,2,0,2,0
273,3,1,0,2,0,0,0
274,3,1,1,0,2,2,2
275,3,1,1,0,2,0,2
276,3,1,1,0,1,1,2
277,3,1,1,0,1,2,2
278,3,1,1,0,1,0,2
279,3,1,1,0,0,1,2
280,3,1,1,1,2,2,2
281,3,1,1,1,2,0,0
282,3,1,1,1,1,2,2
283,3,1,1,1,1,0,0
284,3,1,1,1,0,1,2
285,3,1,1,1,0,2,0
286,3,1,1,1,0,0,0
287,3,1,1,2,2,1,2
288,3,1,1,2,2,2,2
289,3,1,1,2,2,0,0
290,3,1,1,2,1,2,0
291,3,1,1,2,0,1,2
292,3,1,1,2,0,2,0
293,3,1,2,0,2,1,2
294,3,1,2,0,2,0,2
295,3,1,2,0,1,0,2
296,3,1,2,0,0,1,2
297,3,1,2,0,0,2,2
298,3,1,2,0,0,0,2
299,3,1,2,1,2,1,2
300,3,1,2,1,1,1,2
301,3,1,2,1,1,0,0
302,3,1,2,1,0,1,2
303,3,1,2,1,0,2,0
304,3,1,2,1,0,0,0
305,3,1,2,2,2,1,2
306,3,1,2,2,2,2,2
307,3,1,2,2,2,0,0
308,3,1,2,2,1,1,2
309,3,1,2,2,1,2,0
310,3,1,2,2,1,0,0
311,3,1,2,2,0,1,2
312,3,1,2,2,0,2,0
313,3,1,2,2,0,0,0
314,3,1,3,0,2,1,2
315,3,1,3,0,2,2,2
316,3,1,3,0,2,0,2
317,3,1,3,0,1,1,2
318,3,1,3,0,0,1,2
319,3,1,3,0,0,2,2
320,3,1,3,1,2,1,2
321,3,1,3,1,2,2,2
322,3,1,3,1,2,0,0
323,3,1,3,1,1,1,2
324,3,1,3,1,1,0,0
325,3,1,3,1,0,0,0
326,3,1,3,2,2,1,2
327,3,1,3,2,2,2,2
328,3,1,3,2,2,0,0
329,3,1,3,2,1,1,2
330,3,1,3,2,1,2,0
331,3,1,3,2,1,0,0
332,3,1,3,2,0,1,2
333,3,1,3,2,0,2,0
334,0,3,0,0,2,1,2
335,0,3,0,0,2,2,2
336,0,3,0,0,1,1,2
337,0,3,0,0,1,0,2
338,0,3,0,0,0,1,2
339,0,3,0,0,0,0,2
340,0,3,0,1,2,1,2
341,0,3,0,1,2,0,2
342,0,3,0,1,1,1,2
343,0,3,0,1,1,0,2
344,0,3,0,1,0,1,2
345,0,3,0,1,0,0,2
346,0,3,0,2,2,1,2
347,0,3,0,2,2,2,2
348,0,3,0,2,2,0,2
349,0,3,0,2,1,1,2
350,0,3,0,2,0,1,2
351,0,3,0,2,0,2,2
352,0,3,0,2,0,0,2
353,0,3,1,0,2,1,2
354,0,3,1,0,2,2,2
355,0,3,1,0,1,1,2
356,0,3,1,0,1,2,2
357,0,3,1,0,1,0,2
358,0,3,1,0,0,1,2
359,0,3,1,0,0,0,2
360,0,3,1,1,2,1,2
361,0,3,1,1,2,2,2
362,0,3,1,1,2,0,2
363,0,3,1,1,1,1,2
364,0,3,1,1,1,2,2
365,0,3,1,1,1,0,2
366,0,3,1,1,0,2,2
367,0,3,1,1,0,0,2
368,0,3,1,2,2,1,2
369,0,3,1,2,2,0,2
370,0,3,1,2,1,1,2
371,0,3,1,2,1,2,2
372,0,3,1,2,1,0,2
373,0,3,1,2,0,1,2
374,0,3,1,2,0,0,2
375,0,3,2,0,2,0,2
376,0,3,2,0,1,1,2
377,0,3,2,0,1,2,2
378,0,3,2,0,0,1,2
379,0,3,2,0,0,2,2
380,0,3,2,0,0,0,2
381,0,3,2,1,2,1,2
382,0,3,2,1,2,0,2
383,0,3,2,1,1,1,2
384,0,3,2,1,0,1,2
385,0,3,2,1,0,2,2
386,0,3,2,1,0,0,2
387,0,3,2,2,2,2,2
388,0,3,2,2,2,0,2
389,0,3,2,2,1,1,2
390,0,3,2,2,0,1,2
391,0,3,2,2,0,2,2
392,0,3,2,2,0,0,2
393,0,3,3,0,2,1,2
394,0,3,3,0,2,2,2
395,0,3,3,0,2,0,2
396,0,3,3,0,1,1,2
397,0,3,3,0,1,2,2
398,0,3,3,0,0,1,2
399,0,3,3,0,0,2,2
400,0,3,3,0,0,0,2
401,0,3,3,1,2,1,2
402,0,3,3,1,2,2,2
403,0,3,3,1,2,0,2
404,0,3,3,1,1,1,2
405,0,3,3,1,1,2,2
406,0,3,3,1,1,0,2
407,0,3,3,1,0,1,2
408,0,3,3,1,0,2,2
409,0,3,3,1,0,0,2
410,0,3,3,2,2,1,2
411,0,3,3,2,2,2,2
412,0,3,3,2,1,2,2
413,0,3,3,2,1,0,2
414,0,3,3,2,0,1,2
415,0,3,3,2,0,2,2
416,0,3,3,2,0,0,2
417,0,0,0,0,2,1,2
418,0,0,0,0,2,2,2
419,0,0,0,0,2,0,2
420,0,0,0,0,1,1,2
421,0,0,0,0,1,2,2
422,0,0,0,0,1,0,2
423,0,0,0,0,0,2,2
424,0,0,0,0,0,0,2
425,0,0,0,1,2,1,2
426,0,0,0,1,2,2,2
427,0,0,0,1,2,0,0
428,0,0,0,1,1,2,2
429,0,0,0,1,1,0,0
430,0,0,0,1,0,1,2
431,0,0,0,1,0,2,0
432,0,0,0,1,0,0,0
433,0,0,0,2,2,1,2
434,0,0,0,2,2,2,2
435,0,0,0,2,1,1,2
436,0,0,0,2,1,2,2
437,0,0,0,2,0,2,0
438,0,0,0,2,0,0,0
439,0,0,1,0,2,1,2
440,0,0,1,0,2,2,2
441,0,0,1,0,2,0,2
442,0,0,1,0,1,1,2
443,0,0,1,0,1,2,2
444,0,0,1,0,0,1,2
445,0,0,1,0,0,2,2
446,0,0,1,1,2,1,2
447,0,0,1,1,2,2,2
448,0,0,1,1,2,0,0
449,0,0,1,1,1,1,2
450,0,0,1,1,1,0,0
451,0,0,1,1,0,1,2
452,0,0,1,1,0,2,0
453,0,0,1,1,0,0,0
454,0,0,1,2,2,1,2
455,0,0,1,2,2,2,2
456,0,0,1,2,2,0,0
457,0,0,1,2,0,1,2
458,0,0,1,2,0,0,0
459,0,0,2,0,2,1,2
460,0,0,2,0,2,2,2
461,0,0,2,0,2,0,2
462,0,0,2,0,1,1,2
463,0,0,2,0,1,2,2
464,0,0,2,0,1,0,2
465,0,0,2,0,0,0,2
466,0,0,2,1,2,1,2
467,0,0,2,1,2,2,2
468,0,0,2,1,2,0,0
469,0,0,2,1,1,1,2
470,0,0,2,1,1,2,0
471,0,0,2,1,1,0,0
472,0,0,2,1,0,1,2
473,0,0,2,1,0,2,0
474,0,0,2,1,0,0,0
475,0,0,2,2,2,1,2
476,0,0,2,2,2,2,2
477,0,0,2,2,2,0,0
478,0,0,2,2,1,1,2
479,0,0,2,2,1,2,0
480,0,0,2,2,1,0,0
481,0,0,2,2,0,1,2
482,0,0,2,2,0,2,0
483,0,0,3,0,2,2,2
484,0,0,3,0,2,0,2
485,0,0,3,0,1,1,2
486,0,0,3,0,1,2,2
487,0,0,3,0,1,0,2
488,0,0,3,0,0,2,2
489,0,0,3,0,0,0,2
490,0,0,3,1,2,1,2
491,0,0,3,1,2,2,2
492,0,0,3,1,2,0,0
493,0,0,3,1,1,1,2
494,0,0,3,1,1,2,0
495,0,0,3,1,1,0,0
496,0,0,3,1,0,1,2
497,0,0,3,1,0,0,0
498,0,0,3,2,2,1,2
499,0,0,3,2,2,2,2
500,0,0,3,2,2,0,0
501,0,0,3,2,1,2,0
502,0,0,3,2,1,0,0
503,0,0,3,2,0,1,2
504,0,0,3,2,0,0,0
505,0,2,0,0,2,1,2
506,0,2,0,0,2,2,2
507,0,2,0,0,2,0,2
508,0,2,0,0,1,1,2
509,0,2,0,0,1,2,2
510,0,2,0,0,0,1,2
511,0,2,0,0,0,2,2
512,0,2,0,1,2,1,2
513,0,2,0,1,2,2,2
514,0,2,0,1,1,1,2
515,0,2,0,1,1,0,0
516,0,2,0,1,0,1,2
517,0,2,0,1,0,2,0
518,0,2,0,1,0,0,0
519,0,2,0,2,2,1,2
520,0,2,0,2,2,2,2
521,0,2,0,2,1,1,2
522,0,2,0,2,1,2,2
523,0,2,0,2,1,0,0
524,0,2,0,2,0,1,2
525,0,2,0,2,0,2,0
526,0,2,0,2,0,0,0
527,0,2,1,0,2,1,2
528,0,2,1,0,2,0,2
529,0,2,1,0,1,1,2
530,0,2,1,0,1,2,2
531,0,2,1,0,1,0,2
532,0,2,1,0,0,1,2
533,0,2,1,0,0,2,2
534,0,2,1,0,0,0,2
535,0,2,1,1,2,2,2
536,0,2,1,1,2,0,0
537,0,2,1,1,1,1,2
538,0,2,1,1,1,2,2
539,0,2,1,1,0,1,2
540,0,2,1,1,0,2,0
541,0,2,1,2,2,1,2
542,0,2,1,2,2,2,2
543,0,2,1,2,2,0,0
544,0,2,1,2,1,1,2
545,0,2,1,2,1,2,0
546,0,2,1,2,1,0,0
547,0,2,1,2,0,1,2
548,0,2,1,2,0,2,0
549,0,2,1,2,0,0,0
550,0,2,2,0,2,1,2
551,0,2,2,0,2,0,2
552,0,2,2,0,1,1,2
553,0,2,2,0,1,2,2
554,0,2,2,0,1,0,2
555,0,2,2,0,0,1,2
556,0,2,2,0,0,2,2
557,0,2,2,0,0,0,2
558,0,2,2,1,2,2,2
559,0,2,2,1,1,2,0
560,0,2,2,1,0,1,2
561,0,2,2,1,0,2,0
562,0,2,2,1,0,0,0
563,0,2,2,2,2,1,2
564,0,2,2,2,2,0,0
565,0,2,2,2,1,1,2
566,0,2,2,2,1,2,0
567,0,2,2,2,1,0,0
568,0,2,2,2,0,1,2
569,0,2,2,2,0,2,0
570,0,2,2,2,0,0,0
571,0,2,3,0,2,1,2
572,0,2,3,0,2,2,2
573,0,2,3,0,2,0,2
574,0,2,3,0,1,2,2
575,0,2,3,0,0,1,2
576,0,2,3,0,0,2,2
577,0,2,3,0,0,0,2
578,0,2,3,1,2,1,2
579,0,2,3,1,2,2,2
580,0,2,3,1,2,0,0
581,0,2,3,1,1,1,2
582,0,2,3,1,1,2,0
583,0,2,3,1,0,1,2
584,0,2,3,1,0,2,0
585,0,2,3,1,0,0,0
586,0,2,3,2,2,1,2
587,0,2,3,2,2,2,2
588,0,2,3,2,1,1,2
589,0,2,3,2,1,2,0
590,0,2,3,2,1,0,0
591,0,2,3,2,0,2,0
592,0,1,0,0,2,1,2
593,0,1,0,0,2,2,2
594,0,1,0,0,2,0,2
595,0,1,0,0,1,1,2
596,0,1,0,0,1,0,2
597,0,1,0,0,0,2,2
598,0,1,0,0,0,0,2
599,0,1,0,1,2,1,2
600,0,1,0,1,2,2,2
601,0,1,0,1,2,0,0
602,0,1,0,1,1,1,2
603,0,1,0,1,0,1,2
604,0,1,0,1,0,2,0
605,0,1,0,2,2,0,2
606,0,1,0,2,1,1,2
607,0,1,0,2,1,2,2
608,0,1,0,2,1,0,0
609,0,1,0,2,0,1,2
610,0,1,0,2,0,2,0
611,0,1,0,2,0,0,0
612,0,1,1,0,2,1,2
613,0,1,1,0,2,2,2
614,0,1,1,0,2,0,2
615,0,1,1,0,1,1,2
616,0,1,1,0,1,2,2
617,0,1,1,0,1,0,2
618,0,1,1,0,0,1,2
619,0,1,1,0,0,2,2
620,0,1,1,0,0,0,2
621,0,1,1,1,1,1,2
622,0,1,1,1,1,2,2
623,0,1,1,1,0,1,2
624,0,1,1,1,0,2,0
625,0,1,1,1,0,0,0
626,0,1,1,2,2,0,0
627,0,1,1,2,1,1,2
628,0,1,1,2,1,0,0
629,0,1,1,2,0,2,0
630,0,1,1,2,0,0,0
631,0,1,2,0,2,1,2
632,0,1,2,0,2,2,2
633,0,1,2,0,2,0,2
634,0,1,2,0,1,1,2
635,0,1,2,0,1,2,2
636,0,1,2,0,1,0,2
637,0,1,2,0,0,1,2
638,0,1,2,0,0,2,2
639,0,1,2,1,2,0,0
640,0,1,2,1,1,2,0
641,0,1,2,1,1,0,0
642,0,1,2,1,0,1,2
643,0,1,2,1,0,2,0
644,0,1,2,1,0,0,0
645,0,1,2,2,2,1,2
