,Class,Age,Sex,target
0,-1.87,-0.228,0.521,-1.0
1,-0.9229999999999999,-0.228,-1.92,1.0
2,-0.9229999999999999,-0.228,-1.92,1.0
3,0.965,-0.228,0.521,1.0
4,0.0214,-0.228,0.521,-1.0
5,0.965,-0.228,0.521,-1.0
6,0.0214,-0.228,-1.92,-1.0
7,0.0214,-0.228,0.521,-1.0
8,-1.87,4.38,0.521,1.0
9,0.965,-0.228,0.521,1.0
10,-1.87,-0.228,0.521,-1.0
11,0.0214,-0.228,-1.92,-1.0
12,0.965,-0.228,0.521,-1.0
13,0.0214,-0.228,0.521,1.0
14,0.0214,4.38,0.521,-1.0
15,0.965,-0.228,-1.92,1.0
16,-0.9229999999999999,-0.228,-1.92,1.0
17,-0.9229999999999999,-0.228,0.521,-1.0
18,0.0214,-0.228,0.521,-1.0
19,0.965,-0.228,0.521,-1.0
20,0.965,-0.228,0.521,-1.0
21,-1.87,-0.228,-1.92,1.0
22,-0.9229999999999999,-0.228,-1.92,1.0
23,0.965,-0.228,0.521,1.0
24,0.965,-0.228,0.521,-1.0
25,0.0214,4.38,-1.92,-1.0
26,0.0214,-0.228,0.521,-1.0
27,0.0214,-0.228,0.521,-1.0
28,0.965,-0.228,0.521,-1.0
29,0.0214,-0.228,0.521,1.0
30,-0.9229999999999999,-0.228,-1.92,1.0
31,-0.9229999999999999,-0.228,0.521,-1.0
32,0.965,-0.228,0.521,-1.0
33,0.0214,-0.228,-1.92,1.0
34,-0.9229999999999999,-0.228,0.521,-1.0
35,-0.9229999999999999,-0.228,-1.92,1.0
36,0.965,-0.228,0.521,-1.0
37,0.965,-0.228,0.521,-1.0
38,0.965,-0.228,0.521,-1.0
39,-0.9229999999999999,-0.228,0.521,-1.0
40,0.965,-0.228,0.521,-1.0
41,0.965,-0.228,0.521,-1.0
42,-0.9229999999999999,-0.228,-1.92,1.0
43,0.0214,-0.228,0.521,-1.0
44,0.965,-0.228,0.521,1.0
45,0.965,-0.228,0.521,-1.0
46,0.0214,-0.228,0.521,-1.0
47,0.965,-0.228,0.521,-1.0
48,0.965,-0.228,0.521,1.0
49,0.0214,-0.228,0.521,-1.0
50,-1.87,-0.228,-1.92,1.0
51,0.965,-0.228,0.521,-1.0
52,0.0214,-0.228,0.521,-1.0
